Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"adidas,-adidas,-short-sleeve,-sports-women-synthetic-strappy-vest,-for-women,-size-m","Adidas, Adidas, Short Sleeve, Sports Women Synthetic Strappy Vest, For Women, Size M",<p>Adidas - Regular</p>,Adidas,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,4055344023860,21.90,50.00,3,https://www.mewse.ro/images/produse/adidas-adidas-short-sleeve-strappy-vest-for-women-medium-1719554726.png
"adidas,-adidas,-short-sleeve,-sports-women-synthetic-strappy-vest,-for-women,-small","Adidas, Adidas, Short Sleeve, Sports Women Synthetic Strappy Vest, For Women, Small",<p>Adidas - Regular</p>,Adidas,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,4055344019719,21.90,50.00,3,https://www.mewse.ro/images/produse/adidas-adidas-short-sleeve-strappy-vest-for-women-small-1719554755.png
"adidas,-clima-ess-34,-sports-women-synthetic-leggings,-black,-size-s","Adidas, Clima Ess 34, Sports Women Synthetic Leggings, Black, Size S",<p>Adidas - Regular</p>,Adidas,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,4051937880278,24.08,55.00,1,https://www.mewse.ro/images/produse/adidas-clima-ess-34-sports-leggings-black-for-women-size-s-1710851048.jpg
"adidas,-supernova,-sports-women-synthetic-leggings,-black,-size-medium","Adidas, Supernova, Sports Women Synthetic Leggings, Black, Size Medium",<p>Adidas - Regular</p>,Adidas,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,4055015246956,29.91,75.22,3,https://www.mewse.ro/images/produse/adidas-supernova-sports-leggings-black-for-women-medium-m-1680496900.jpg
"calvin-klein,-calvin-klein,-glasses-case,-grey-silver","Calvin Klein, Calvin Klein, Glasses Case, Grey Silver",<p>Calvin Klein - Regular</p>,Calvin Klein,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,0043|99000000006157,0.30,33.00,1,https://www.mewse.ro/images/produse/calvin-klein-calvin-klein-glasses-case-grey-silver--1677774320.jpg
"calvin-klein,-calvin-klein,-glasses-case,-grey-silver","Calvin Klein, Calvin Klein, Glasses Case, Grey Silver",<p>Calvin Klein - Regular</p>,Calvin Klein,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,99000000006157,12.08,33.00,103,https://www.mewse.ro/images/produse/calvin-klein-calvin-klein-glasses-case-grey-silver--1677774320.jpg
"calvin-klein,-calvin-klein,-glasses-case,-black/grey","Calvin Klein, Calvin Klein, Glasses Case, Black/Grey",<p>Calvin Klein - Regular</p>,Calvin Klein,Clothing / Acessories,"Unisex, Regular, Acessories",TRUE,Title,Default Title,99000000006158,12.08,33.00,147,https://www.mewse.ro/images/produse/calvin-klein-calvin-klein-glasses-case-black-grey--1677774210.jpg
"givenchy,-play,-long-sleeve,-unisex-textile-t-shirt,-for-women,-size-m","Givenchy, Play, Long Sleeve, Unisex Textile T-Shirt, For Women, Size M",<p>Givenchy - Regular</p>,Givenchy,Clothing / Tops,"For Women, Regular, Tops",TRUE,Title,Default Title,3274875559421,23.17,98.00,5,https://www.mewse.ro/images/produse/
"givenchy,-play,-short-sleeve,-unisex-textile-t-shirt,-for-men,-size-m","Givenchy, Play, Short Sleeve, Unisex Textile T-Shirt, For Men, Size M",<p>Givenchy - Regular</p>,Givenchy,Clothing / Tops,"For Men, Regular, Tops",TRUE,Title,Default Title,3274875559469,25.25,75.00,2,https://www.mewse.ro/images/produse/
"givenchy,-play,-short-sleeve,-unisex-textile-t-shirt,-for-men,-size-s","Givenchy, Play, Short Sleeve, Unisex Textile T-Shirt, For Men, Size S",<p>Givenchy - Regular</p>,Givenchy,Clothing / Tops,"For Men, Regular, Tops",TRUE,Title,Default Title,3274875559452,17.36,75.00,2,https://www.mewse.ro/images/produse/
