Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"abercrombie-&-fitch,-generic-weekend,-textile-bag,-handbag,-grey,-for-men","Abercrombie & Fitch, Generic Weekend, Textile Bag, Handbag, Grey, For Men",<p>Abercrombie & Fitch - Regular</p>,Abercrombie & Fitch,Fashion / Bags & Backpacks,"For Men, Regular, Bags & Backpacks",TRUE,Title,Default Title,085715163592,39.60,75.00,22,https://www.mewse.ro/images/produse/abercrombie-fitch-generic-weekend-bag-handbag-grey-1680615063.png
"ajmal,-aurum,-paper,-textile-bag,-unisex","Ajmal, Aurum, Paper, Textile Bag, Unisex",<p>Ajmal - Regular</p>,Ajmal,Fashion / Bags & Backpacks,"Unisex, Regular, Bags & Backpacks",TRUE,Title,Default Title,990000000000739,1.31,5.50,9,https://www.mewse.ro/images/produse/
"ajmal,-patchouli-wood,-gwp-textile-bag","Ajmal, Patchouli Wood, GWP Textile Bag",<p>Ajmal - Regular</p>,Ajmal,Fashion / Gifts,"Unisex, Regular, Gifts",TRUE,Title,Default Title,990000000000740,1.31,5.50,24,https://www.mewse.ro/images/produse/
"ajmal,-santal-wood,-paper,-textile-bag,-unisex","Ajmal, Santal Wood, Paper, Textile Bag, Unisex",<p>Ajmal - Regular</p>,Ajmal,Fashion / Bags & Backpacks,"Unisex, Regular, Bags & Backpacks",TRUE,Title,Default Title,990000000000742,1.31,5.50,35,https://www.mewse.ro/images/produse/
"ajmal,-amber-wood,-gwp-textile-bag","Ajmal, Amber Wood, GWP Textile Bag",<p>Ajmal - Regular</p>,Ajmal,Fashion / Gifts,"For Women, Regular, Gifts",TRUE,Title,Default Title,990000000000738,1.31,5.50,104,https://www.mewse.ro/images/produse/
"annayake,-annayake,-toiletry,-gwp-textile-pouch,-m20293l,-black","Annayake, Annayake, Toiletry, GWP Textile Pouch, M20293L, Black",<p>Annayake - Regular</p>,Annayake,Fashion / Gifts,"For Women, Regular, Gifts",TRUE,Title,Default Title,3552570125920,3.86,35.00,45,https://www.mewse.ro/images/produse/
"annayake,-annayake,-toiletry,-gwp-textile-pouch,-20289","Annayake, Annayake, Toiletry, GWP Textile Pouch, 20289",<p>Annayake - Regular</p>,Annayake,Fashion / Gifts,"For Women, Regular, Gifts",TRUE,Title,Default Title,3552570125814,3.90,35.00,65,https://www.mewse.ro/images/produse/annayake-annayake-toiletry-gwp-pouch-20289-1689067169.png
"benetton,-united-colors-of-benetton,-sunglasses,-unisex","Benetton, United Colors of Benetton, Sunglasses, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726073070,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-black-retro,-unisex","Benetton, United Colors of Benetton, Sunglasses, Black Retro, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726072981,5.47,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-black-wayfarer-(yellow-lens),-unisex","Benetton, United Colors of Benetton, Sunglasses, Black Wayfarer (Yellow Lens), Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071052,4.98,45.00,10,https://www.mewse.ro/images/produse/
