Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"abercrombie-&-fitch,-fierce,-eau-de-parfum,-for-women,-100-ml","Abercrombie & Fitch, Fierce, Eau De Parfum, For Women, 100 ml",<p>Abercrombie & Fitch - Regular</p>,Abercrombie & Fitch,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,085715167811,19.02,83.00,43,https://www.mewse.ro/images/produse/abercrombie-fitch-fierce-eau-de-parfum-for-women-100-ml-0-085715167811-1673197038.jpg
"abercrombie-&-fitch,-naturally-fierce,-eau-de-parfum,-for-women,-50-ml","Abercrombie & Fitch, Naturally Fierce, Eau De Parfum, For Women, 50 ml",<p>Abercrombie & Fitch - Regular</p>,Abercrombie & Fitch,Fragrance / Perfumes,"For Women, Regular, Perfumes",TRUE,Title,Default Title,0043|85715167804,27.00,68.90,7,https://www.mewse.ro/images/produse/abercrombie-fitch-naturally-fierce-eau-de-parfum-for-women-50-ml--1670932039.jpg
"abercrombie-&-fitch,-authentic,-eau-de-toilette,-for-men,-50-ml","Abercrombie & Fitch, Authentic, Eau De Toilette, For Men, 50 ml",<p>Abercrombie & Fitch - Regular</p>,Abercrombie & Fitch,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,085715166029,14.61,63.50,23,https://www.mewse.ro/images/produse/abercrombie-fitch-authentic-eau-de-toilette-for-men-50-ml--1673196981.jpg
"abercrombie-&-fitch,-first-instinct-sheer,-eau-de-parfum,-for-women,-100-ml-*tester","Abercrombie & Fitch, First Instinct Sheer, Eau De Parfum, For Women, 100 ml *Tester",<p>Abercrombie & Fitch - Tester</p>,Abercrombie & Fitch,Fragrance / Perfumes,"For Women, Tester, Perfumes",TRUE,Title,Default Title,085715167644,24.30,90.00,7,https://www.mewse.ro/images/produse/abercrombie-fitch-first-instinct-sheer-eau-de-parfum-for-women-flacon-100-ml-0-85715167644-1668782983.jpg
"acqua-di-parma,-colonia-pura,-eau-de-cologne,-unisex,-individual,-100-ml","Acqua di Parma, Colonia Pura, Eau De Cologne, Unisex, Individual, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"Unisex, Regular, Perfumes",TRUE,Title,Default Title,8028713270024,75.61,145.00,7,https://www.mewse.ro/images/produse/acqua-di-parma-colonia-pura-eau-de-cologne-unisex-100-ml-1686299855.png
"essential--set-acqua-di-parma:-colonia-essential,-eau-de-cologne,-for-men,-20-ml-+-colonia-essential,-eau-de-cologne,-for-men,-100-ml","Essential  Set Acqua di Parma: Colonia Essential, Eau De Cologne, For Men, 20 ml + Colonia Essential, Eau De Cologne, For Men, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713250682,84.24,145.00,6,https://www.mewse.ro/images/produse/set-acqua-di-parma-colonia-essential-eau-de-cologne-for-men-20-ml-colonia-essential-eau-de-cologne-for-men-100-ml-1680160662.jpg
"travel-set-acqua-di-parma:-colonia,-anti-perspirant,-deodorant-spray,-for-men,-50-ml-+-colonia,-eau-de-cologne,-for-men,-100-ml","Travel Set Acqua di Parma: Colonia, Anti-Perspirant, Deodorant Spray, For Men, 50 ml + Colonia, Eau De Cologne, For Men, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713250699,83.83,145.00,7,https://www.mewse.ro/images/produse/travel-set-acqua-di-parma-colonia-anti-perspirant-deodorant-spray-for-men-50-ml-colonia-eau-de-cologne-for-men-100-ml-1680160808.jpg
"set-acqua-di-parma:-blu-mediterraneo-bergamotto-di-calabria,-eau-de-toilette,-unisex,-30-ml-+-blu-mediterraneo-arancia-di-capri,-eau-de-toilette,-for-men,-30-ml-+-blu-mediterraneo---fico-di-amalfi,-eau-de-toilette,-unisex,-30-ml","Set Acqua di Parma: Blu Mediterraneo Bergamotto di Calabria, Eau De Toilette, Unisex, 30 ml + Blu Mediterraneo Arancia di Capri, Eau De Toilette, For Men, 30 ml + Blu Mediterraneo - Fico di Amalfi, Eau De Toilette, Unisex, 30 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"Unisex, Regular, Perfume Sets",TRUE,Title,Default Title,8028713571534,80.10,178.00,17,https://www.mewse.ro/images/produse/
"gift-set-acqua-di-parma:-colonia,-eau-de-cologne,-20-ml-+-colonia-pura,-eau-de-cologne,-unisex,-20-ml-+-colonia-intensa,-eau-de-cologne,-20-ml","Gift Set Acqua di Parma: Colonia, Eau De Cologne, 20 ml + Colonia Pura, Eau De Cologne, Unisex, 20 ml + Colonia Intensa, Eau De Cologne, 20 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"None, Regular, Perfume Sets",TRUE,Title,Default Title,8028713250316,61.61,148.00,5,https://www.mewse.ro/images/produse/gift-set-acqua-di-parma-colonia-eau-de-cologne-20-ml-colonia-pura-eau-de-cologne-20-ml-colonia-intensa-eau-de-cologne-20-ml-1679996654.jpg
"acqua-di-parma,-note-di-colonia-iv,-eau-de-cologne,-unisex,-individual,-150-ml","Acqua di Parma, Note di Colonia IV, Eau De Cologne, Unisex, Individual, 150 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"Unisex, Regular, Perfumes",TRUE,Title,Default Title,8028713290053,216.36,490.00,14,https://www.mewse.ro/images/produse/acqua-di-parma-note-di-colonia-iv-eau-de-cologne-unisex-150-ml--1670933250.jpg
