Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty
"acqua-di-parma,-acqua-di-parma,-hair-shampoo,-thickening,-200-ml","Acqua di Parma, Acqua di Parma, Hair Shampoo, Thickening, 200 ml",,Acqua di Parma,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,8028713520334,42.58,5
"burberry,-mr.-burberry,-hair-styling-clay,-medium-hold,-45-g","Burberry, Mr. Burberry, Hair Styling Clay, Medium Hold, 45 g",,Burberry,Hair,"For Men, Hair Styling, Hair Styling Clay",TRUE,Title,Default Title,5045497480428,12.29,18
"cartier,-rex,-empty-cardboard-box","Cartier, Rex, Empty Cardboard Box",,Cartier,Hair,"None, Advertising, Empty Cardboard Box",TRUE,Title,Default Title,2000000065472,3.40,485
"cartier,-cartier,-plastic-display","Cartier, Cartier, Plastic Display",,Cartier,Hair,"Unisex, Salon Supplies, Plastic Display",TRUE,Title,Default Title,2000000072173,9.03,56
"clean,-reserve,-buriti-&-tucuma,-hair-shampoo,-for-moisturizing,-296-ml","Clean, Reserve, Buriti & Tucuma, Hair Shampoo, For Moisturizing, 296 ml",,Clean,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,874034012717,7.49,5
"clean,-reserve,-buriti-&-tucuma,-hair-conditioner,-moisturizing,-296-ml","Clean, Reserve, Buriti & Tucuma, Hair Conditioner, Moisturizing, 296 ml",,Clean,Hair,"For Women, Hair Care, Hair Conditioner",TRUE,Title,Default Title,874034012724,12.66,6
"clean,-tapioca,-hair-dry-shampoo,-for-volume,-56-g","Clean, Tapioca, Hair Dry Shampoo, For Volume, 56 g",,Clean,Hair,"For Women, Hair Care, Hair Dry Shampoo",TRUE,Title,Default Title,874034012755,12.76,7
"creed,-green-irish-tweed,-shower-gel-&-shampoo-2-in-1,-200-ml","Creed, Green Irish Tweed, Shower Gel & Shampoo 2-In-1, 200 ml",,Creed,Hair,"Unisex, Hair Care, Shower Gel & Shampoo 2-In-1",TRUE,Title,Default Title,3508443107326,44.11,2
"dsquared,-dsquared,-salon-textile-towel,-blue","Dsquared, Dsquared, Salon Textile Towel, Blue",,Dsquared,Hair,"For Women, Salon Supplies, Salon Textile Towel",TRUE,Title,Default Title,0043|8011530999353,19.16,1
"gosh,-musk-oil-no.-6,-hair-shampoo,-250-ml","Gosh, Musk Oil No. 6, Hair Shampoo, 250 ml",,Gosh,Hair,"For Women, Hair Care, Hair Shampoo",TRUE,Title,Default Title,5701278102117,5.08,20
