Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"ajmal,-textile-makeup-bag","Ajmal, Textile Makeup Bag",<p>Ajmal - Regular</p>,Ajmal,Makeup / Tools & Accessories,"Unisex, Regular, Tools & Accessories",TRUE,Title,Default Title,990000000000735,1.31,5.50,64,https://www.mewse.ro/images/produse/
"ajmal,-textile-makeup-bag,-yellow","Ajmal, Textile Makeup Bag, Yellow",<p>Ajmal - Regular</p>,Ajmal,Makeup / Tools & Accessories,"Unisex, Regular, Tools & Accessories",TRUE,Title,Default Title,990000000000736,1.31,5.50,120,https://www.mewse.ro/images/produse/
"ajmal,-textile-makeup-bag,-black","Ajmal, Textile Makeup Bag, Black",<p>Ajmal - Regular</p>,Ajmal,Makeup / Tools & Accessories,"Unisex, Regular, Tools & Accessories",TRUE,Title,Default Title,990000000000737,1.48,5.50,27,https://www.mewse.ro/images/produse/
"ajmal,-textile-makeup-bag","Ajmal, Textile Makeup Bag",<p>Ajmal - Regular</p>,Ajmal,Makeup / Tools & Accessories,"Unisex, Regular, Tools & Accessories",TRUE,Title,Default Title,990000000000741,1.48,5.50,3,https://www.mewse.ro/images/produse/
"burberry,-textile-makeup-bag,-dark-blue","Burberry, Textile Makeup Bag, Dark Blue",<p>Burberry - Regular</p>,Burberry,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,5045551730650,9.93,34.27,213,https://www.mewse.ro/images/produse/burberry-makeup-bag-dark-blue--1677760553.jpg
"burberry,-textile-makeup-bag,-pink","Burberry, Textile Makeup Bag, Pink",<p>Burberry - Regular</p>,Burberry,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,0043|3614227705876,8.67,34.27,1,https://www.mewse.ro/images/produse/burberry-makeup-bag-pink--1677760980.jpg
"burberry,-textile-makeup-bag,-pink","Burberry, Textile Makeup Bag, Pink",<p>Burberry - Regular</p>,Burberry,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,3614227705876,10.50,34.27,599,https://www.mewse.ro/images/produse/burberry-makeup-bag-pink--1677760980.jpg
"burberry,-textile-makeup-bag","Burberry, Textile Makeup Bag",<p>Burberry - Regular</p>,Burberry,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,3614227417076,6.55,34.27,272,https://www.mewse.ro/images/produse/burberry-makeup-bag-1684734509.png
"burberry,-textile-makeup-bag","Burberry, Textile Makeup Bag",<p>Burberry - Regular</p>,Burberry,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,3614227417120,6.55,34.27,945,https://www.mewse.ro/images/produse/burberry-makeup-bag-1684734509.png
"by-kilian,-le-rouge-parfum,-matte,-cream-lipstick,-242,-rouge-tentation,-3.5-g","By Kilian, Le Rouge Parfum, Matte, Cream Lipstick, 242, Rouge Tentation, 3.5 g",<p>By Kilian - Regular</p>,By Kilian,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3700550217305,19.73,60.00,7,https://www.mewse.ro/images/produse/by-kilian-le-rouge-parfum-matte-lipstick-242-rouge-tentation-3-5-g--1669551947.jpg
"by-kilian,-le-rouge-parfum,-matte,-cream-lipstick,-152,-shoking-rose,-3.5-g","By Kilian, Le Rouge Parfum, Matte, Cream Lipstick, 152, Shoking Rose, 3.5 g",<p>By Kilian - Regular</p>,By Kilian,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3700550214502,31.44,60.00,1,https://www.mewse.ro/images/produse/by-kilian-le-rouge-parfum-matte-lipstick-152-shoking-rose-3-5-g--1669552000.jpg
"by-kilian,-le-rouge-parfum,-matte,-cream-lipstick,-252,-shoking-rose,-3.5-g","By Kilian, Le Rouge Parfum, Matte, Cream Lipstick, 252, Shoking Rose, 3.5 g",<p>By Kilian - Regular</p>,By Kilian,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3700550213482,26.14,60.00,7,https://www.mewse.ro/images/produse/by-kilian-le-rouge-parfum-matte-lipstick-252-shoking-rose-3-5-g--1669552055.jpg
"by-kilian,-le-rouge-parfum,-matte,-cream-lipstick,-147,-rouge-nuit,-3.5-g","By Kilian, Le Rouge Parfum, Matte, Cream Lipstick, 147, Rouge Nuit, 3.5 g",<p>By Kilian - Regular</p>,By Kilian,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3700550217428,24.04,60.00,9,https://www.mewse.ro/images/produse/by-kilian-le-rouge-parfum-matte-cream-lipstick-147-rouge-nuit-3-5-g-1688040672-649d74e08188f.png
"by-kilian,-le-rouge-parfum,-matte,-cream-lipstick,-155,-crystal-rose,-3.5-g","By Kilian, Le Rouge Parfum, Matte, Cream Lipstick, 155, Crystal Rose, 3.5 g",<p>By Kilian - Regular</p>,By Kilian,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3700550214519,20.58,60.00,7,https://www.mewse.ro/images/produse/by-kilian-le-rouge-parfum-matte-lipstick-155-crystal-rose-3-5-g--1669552186.jpg
"by-kilian,-le-rouge-parfum,-matte,-cream-lipstick,-250,-devil-rouge,-3.5-g","By Kilian, Le Rouge Parfum, Matte, Cream Lipstick, 250, Devil Rouge, 3.5 g",<p>By Kilian - Regular</p>,By Kilian,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3700550213475,29.16,60.00,4,https://www.mewse.ro/images/produse/by-kilian-le-rouge-parfum-matte-cream-lipstick-250-devil-rouge-3-5-g-1688040966.png
"calvin-klein,-textile-makeup-bag","Calvin Klein, Textile Makeup Bag",<p>Calvin Klein - Regular</p>,Calvin Klein,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,3614225481918,13.04,34.27,21,https://www.mewse.ro/images/produse/
"cartier,-baiser-vole,-hydrating,-lip-balm,-9-ml","Cartier, Baiser Vole, Hydrating, Lip Balm, 9 ml",<p>Cartier - Regular</p>,Cartier,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3432240048219,31.07,55.00,38,https://www.mewse.ro/images/produse/cartier-baiser-vole-hydrating-lip-balm-9-ml-1702025631.jpg
"chanel,-les-beiges-healthy-glow,-glow,-blush-compact-powder,-n-70,-12-g","Chanel, Les Beiges Healthy Glow, Glow, Blush Compact Powder, N 70, 12 g",<p>Chanel - Regular</p>,Chanel,Makeup / Cheeks,"For Women, Regular, Cheeks",TRUE,Title,Default Title,3145891864724,46.50,62.00,2,https://www.mewse.ro/images/produse/chanel-les-beiges-healthy-glow-glow-powder-blush-n-70-12-g--1669639074.jpg
"chanel,-le-vernis,-nail-polish,-510,-gitane,-13-ml","Chanel, Le Vernis, Nail Polish, 510, Gitane, 13 ml",<p>Chanel - Regular</p>,Chanel,Makeup / Nails,"For Women, Regular, Nails",TRUE,Title,Default Title,3145891595109,25.65,30.00,1,https://www.mewse.ro/images/produse/chanel-le-vernis-nail-polish-510-gitane-13-ml-1679571011.jpg
"chanel,-le-vernis,-nail-polish,-524,-turban,-13-ml","Chanel, Le Vernis, Nail Polish, 524, Turban, 13 ml",<p>Chanel - Regular</p>,Chanel,Makeup / Nails,"For Women, Regular, Nails",TRUE,Title,Default Title,3145891595246,25.65,30.00,2,https://www.mewse.ro/images/produse/chanel-le-vernis-nail-polish-524-turban-13-ml-1680040602.jpg
"chanel,-les-beiges-healthy-glow,-compact-powder,-40,-12-g","Chanel, Les Beiges Healthy Glow, Compact Powder, 40, 12 g",<p>Chanel - Regular</p>,Chanel,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3145891864427,46.50,62.00,1,https://www.mewse.ro/images/produse/chanel-les-beiges-healthy-glow-compact-powder-40-12-g-1686745517.png
"chanel,-les-9-ombres-quintessence,-eyebrow-palette,-6.3-g","Chanel, Les 9 Ombres Quintessence, Eyebrow Palette, 6.3 g",<p>Chanel - Regular</p>,Chanel,Makeup / Eyebrows,"For Women, Regular, Eyebrows",TRUE,Title,Default Title,3145891510478,64.40,119.00,85,https://www.mewse.ro/images/produse/chanel-les-9-ombres-quintessence-eyebrow-palette-6-3-g--1669639775.jpg
"chanel,-palette-essentielle,-fresh-colour-&-shine,-face-palette,-160,-beige-medium,-9-g","Chanel, Palette Essentielle, Fresh Colour & Shine, Face Palette, 160, Beige Medium, 9 g",<p>Chanel - Regular</p>,Chanel,Makeup / Face,"None, Regular, Face",TRUE,Title,Default Title,3145891491609,51.84,72.00,1,https://www.mewse.ro/images/produse/chanel-chance-fresh-colour-shine-face-palette-160-beige-dore-9-g-1680078133.jpg
"chanel,-la-palette-sourcils,-eyebrow-palette,-03,-dark,-4-g","Chanel, La Palette Sourcils, Eyebrow Palette, 03, Dark, 4 g",<p>Chanel - Regular</p>,Chanel,Makeup / Eyebrows,"For Women, Regular, Eyebrows",TRUE,Title,Default Title,3145891824704,55.10,58.00,2,https://www.mewse.ro/images/produse/chanel-la-palette-sourcils-eyebrow-palette-03-dark-4-g-1680078578.jpg
"chloe,-textile-makeup-bag,-pink","Chloe, Textile Makeup Bag, Pink",<p>Chloe - Regular</p>,Chloe,Makeup / Tools & Accessories,"For Women, Regular, Tools & Accessories",TRUE,Title,Default Title,3614225961557,10.04,34.27,274,https://www.mewse.ro/images/produse/
"set-trio,-christian-dior,-colour-of-love,-cream-lipstick,-3-pcs,-35-g","Set Trio, Christian Dior, Colour Of Love, Cream Lipstick, 3 pcs, 35 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3348901386753,70.20,120.00,2,https://www.mewse.ro/images/produse/christian-dior-colour-of-love-cream-lipstick-35-g--1677559112.jpg
"christian-dior,-prestige-la-micro-huile-de-rose,-corrector-&-brightener,-liquid-highlighter,-for-face,-duo,-50-ml","Christian Dior, Prestige La Micro-Huile De Rose, Corrector & Brightener, Liquid Highlighter, For Face, Duo, 50 ml",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3348901449496,289.87,750.00,4,https://www.mewse.ro/images/produse/christian-dior-prestige-la-micro-huile-de-rose-corrector-brightener-liquid-highlighter-for-face-50-ml-1678112634.png
"christian-dior,-diorshow-on-stage,-waterproof,-ultra-flexible-felt-tip,-intense-color,-liquid-eyeliner,-091,-matte-black,-0.55-ml","Christian Dior, Diorshow On Stage, Waterproof, Ultra-Flexible Felt Tip, Intense Color, Liquid Eyeliner, 091, Matte Black, 0.55 ml",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,0043|3348901379908,20.48,0.00,2,https://www.mewse.ro/images/produse/christian-dior-diorshow-on-stage-gel-eyeliner-91-matte-black-0-55-ml-1681922294.png
"christian-dior,-diorshow-on-stage,-waterproof,-ultra-flexible-felt-tip,-intense-color,-liquid-eyeliner,-781,-matte-brown,-0.55-ml","Christian Dior, Diorshow On Stage, Waterproof, Ultra-Flexible Felt Tip, Intense Color, Liquid Eyeliner, 781, Matte Brown, 0.55 ml",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,0043|3348901379984,20.48,0.00,6,https://www.mewse.ro/images/produse/christian-dior-diorshow-on-stage-gel-eyeliner-91-matte-black-0-55-ml-0-3348901379984-1676887180.jpg
"christian-dior,-dior-skin,-glow,-compact-powder,-32,-rosy-beige,-10-g","Christian Dior, Dior Skin, Glow, Compact Powder, 32, Rosy Beige, 10 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3348901103787,34.27,71.10,1,https://www.mewse.ro/images/produse/christian-dior-dior-skin-glow-compact-powder-32-rosy-beige-10-g-1725351659.jpg
"christian-dior,-dior-rouge,-cream-lipstick,-779,-illusion,-3.5-g","Christian Dior, Dior Rouge, Cream Lipstick, 779, Illusion, 3.5 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3348901108911,24.73,51.35,2,https://www.mewse.ro/images/produse/christian-dior-dior-rouge-cream-lipstick-779-illusion-3-5-g-1725352062.jpg
"christian-dior,-diorshow-brow-styler,-double-ended,-eyebrow-cream-pencil,-002,-dark-brown,-0.09-g","Christian Dior, Diorshow Brow Styler, Double-Ended, Eyebrow Cream Pencil, 002, Dark Brown, 0.09 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyebrows,"For Women, Regular, Eyebrows",TRUE,Title,Default Title,0043|3348901254533,18.27,34.00,1,https://www.mewse.ro/images/produse/christian-dior-diorshow-double-ended-eyebrow-cream-pencil-002-dark-brown-0-9-g-1686035487.jpg
"christian-dior,-vernis,-nail-polish,-108,-muguet,-10-ml","Christian Dior, Vernis, Nail Polish, 108, Muguet, 10 ml",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Nails,"For Women, Regular, Nails",TRUE,Title,Default Title,0043|3348901208147,17.58,33.24,3,https://www.mewse.ro/images/produse/christian-dior-vernis-nail-polish-108-muguet-10-ml-1686036248.jpg
"christian-dior,-3-colour-mania,-eyeshadow-palette,-653,-coral,-3.3-g","Christian Dior, 3 Colour Mania, Eyeshadow Palette, 653, Coral, 3.3 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,3348901450676,31.19,63.00,2,https://www.mewse.ro/images/produse/christian-dior-3-colour-mania-eyeshadow-palette-653-coral-3-3-g--1669636362.jpg
"christian-dior,-3-colour-mania,-eyeshadow-palette,-053,-smoky,-3.3-g","Christian Dior, 3 Colour Mania, Eyeshadow Palette, 053, Smoky, 3.3 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,3348901450638,31.19,63.00,2,https://www.mewse.ro/images/produse/christian-dior-3-colour-mania-eyeshadow-palette-053-smoky-3-3-g-1679639263.jpg
