Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"acqua-di-parma,-buongiorno,-scented-candle,-200-g","Acqua di Parma, Buongiorno, Scented Candle, 200 g",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,8028713620034,39.53,82.50,2,https://www.mewse.ro/images/produse/acqua-di-parma-buongiorno-scented-candle-200-g-1719994677.jpg
"acqua-di-parma,-blu-mediterraneo---fico-di-amalfi,-stick,-aroma-reed-diffuser,-180-ml","Acqua di Parma, Blu Mediterraneo - Fico di Amalfi, Stick, Aroma Reed Diffuser, 180 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Aroma Diffusers,"Unisex, Regular, Aroma Diffusers",TRUE,Title,Default Title,8028713622076,47.89,83.00,1,https://www.mewse.ro/images/produse/acqua-di-parma-blu-mediterraneo-fico-di-amalfi-stick-aroma-diffuser-180-ml-1719995025.jpg
"acqua-di-parma,-notte-di-stelle,-scented-candle,-200-g","Acqua di Parma, Notte Di Stelle, Scented Candle, 200 g",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,8028713620188,47.60,82.50,1,https://www.mewse.ro/images/produse/acqua-di-parma-buongiorno-scented-candle-200-g-1719995896.jpg
"acqua-di-parma,-oh-l'-amore,-scented-candle,-200-g","Acqua di Parma, Oh L' Amore, Scented Candle, 200 g",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,8028713620027,47.56,82.50,10,https://www.mewse.ro/images/produse/acqua-di-parma-oh-l-amore-scented-candle-200-g-1719996552.png
"acqua-di-parma,-bosco,-stick,-aroma-reed-diffuser,-180-ml","Acqua di Parma, Bosco, Stick, Aroma Reed Diffuser, 180 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Aroma Diffusers,"Unisex, Regular, Aroma Diffusers",TRUE,Title,Default Title,8028713623585,63.77,111.00,3,https://www.mewse.ro/images/produse/acqua-di-parma-bosco-stick-aroma-diffuser-180-ml-1719997038.png
"acqua-di-parma,-bosco,-scented-candle,-200-g","Acqua di Parma, Bosco, Scented Candle, 200 g",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,8028713623240,47.64,82.50,5,https://www.mewse.ro/images/produse/acqua-di-parma-bosco-scented-candle-200-g-1719997151.jpg
"acqua-di-parma,-magia-del-camino,-scented-candle,-200-g","Acqua di Parma, Magia Del Camino, Scented Candle, 200 g",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,8028713623295,47.64,82.50,9,https://www.mewse.ro/images/produse/acqua-di-parma-magia-del-camino-scented-candle-200-g-1719997330.jpg
"acqua-di-parma,-magia-del-camino,-stick,-aroma-reed-diffuser,-180-ml","Acqua di Parma, Magia Del Camino, Stick, Aroma Reed Diffuser, 180 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Room Scents / Aroma Diffusers,"Unisex, Regular, Aroma Diffusers",TRUE,Title,Default Title,8028713623646,63.77,111.00,15,https://www.mewse.ro/images/produse/acqua-di-parma-magia-del-camino-stick-aroma-diffuser-180-ml-1719997369.jpg
"cartier,-les-ecrins-canopee,-scented-candle,-220-g","Cartier, Les Ecrins Canopee, Scented Candle, 220 g",<p>Cartier - Regular</p>,Cartier,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3432240506320,102.76,192.00,6,https://www.mewse.ro/images/produse/cartier-les-ecrins-canopee-scented-candle-220-g-1721802721.png
"cartier,-les-ecrins-desert,-scented-candle,-220-g","Cartier, Les Ecrins Desert, Scented Candle, 220 g",<p>Cartier - Regular</p>,Cartier,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3432240506337,103.15,192.00,3,https://www.mewse.ro/images/produse/cartier-les-ecrins-desert-scented-candle-220-g-1721806130.png
