Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"gift-set-acqua-di-parma:-barbiere,-face-shaving-brush-+-barbiere,-hydrating,-after-sun-balm,-40-ml-+-barbiere,-shaving-cream,-40-ml-+-colonia,-eau-de-cologne,-20-ml-+-acqua-di-parma,-toiletry,-gwp-textile-pouch,-yellow","Gift Set Acqua di Parma: Barbiere, Face Shaving Brush + Barbiere, Hydrating, After-Sun Balm, 40 ml + Barbiere, Shaving Cream, 40 ml + Colonia, Eau De Cologne, 20 ml + Acqua di Parma, Toiletry, GWP Textile Pouch, Yellow",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Skin / Skin Care Sets,"For Men, Regular, Skin Care Sets",TRUE,Title,Default Title,8028713520266,88.32,169.20,3,https://www.mewse.ro/images/produse/gift-set-acqua-di-parma-barbiere-face-shaving-brush-barbiere-hydrating-after-sun-balm-40-ml-barbiere-shaving-cream-40-ml-colonia-eau-de-cologne-for-men-20-ml-acqua-di-parma-toiletry-gwp-pouch-1679660858.jpeg
"acqua-di-parma,-barbiere,-moisturizing,-eye-cream,-15-ml","Acqua di Parma, Barbiere, Moisturizing, Eye Cream, 15 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Skin / Eye Care,"For Men, Regular, Eye Care",TRUE,Title,Default Title,8028713520082,30.93,53.45,41,https://www.mewse.ro/images/produse/acqua-di-parma-barbiere-moisturizing-eye-cream-15-ml-1726577498.jpg
"adidas,-champions-league,-after-shave-lotion,-100-ml","Adidas, Champions League, After-Shave Lotion, 100 ml",<p>Adidas - Regular</p>,Adidas,Skin / Face Shaving,"For Men, Regular, Face Shaving",TRUE,Title,Default Title,3614223935635,2.57,5.45,516,https://www.mewse.ro/images/produse/adidas-champions-league-after-shave-lotion-100-ml-1-3614223935635-1669036924.jpg
"annayake,-ultratime,-lifting,-serum,-for-eyes,-3-ml-*sample","Annayake, Ultratime, Lifting, Serum, For Eyes, 3 ml *Sample",<p>Annayake - Sample</p>,Annayake,Skin / Skin Care,"For Women, Sample, Skin Care",TRUE,Title,Default Title,3552574270404,0.88,3.90,41,https://www.mewse.ro/images/produse/
"annayake,-ultratime,-anti-ageing,-cream,-for-face,-3-ml-*sample","Annayake, Ultratime, Anti-Ageing, Cream, For Face, 3 ml *Sample",<p>Annayake - Sample</p>,Annayake,Skin / Skin Care,"For Women, Sample, Skin Care",TRUE,Title,Default Title,3552574260085,0.96,3.90,270,https://www.mewse.ro/images/produse/annayake-ultratime-anti-ageing-cream-for-face-3-ml-sample-1689067224.png
"annayake,-ultratime,-glycolic-acid,-anti-wrinkle,-serum,-for-face,-30-ml-*tester","Annayake, Ultratime, Glycolic Acid, Anti-Wrinkle, Serum, For Face, 30 ml *Tester",<p>Annayake - Tester</p>,Annayake,Skin / Skin Care,"For Women, Tester, Skin Care",TRUE,Title,Default Title,3552570013821,5.07,65.00,14,https://www.mewse.ro/images/produse/annayake-ultratime-glycolic-acid-anti-wrinkle-serum-for-face-30-ml-tester-1686560633.png
"annayake,-bamboo,-hydrating,-cream-mask,-for-face,-75-ml-*tester","Annayake, Bamboo, Hydrating, Cream Mask, For Face, 75 ml *Tester",<p>Annayake - Tester</p>,Annayake,Skin / Skin Treatment Masks,"For Women, Tester, Skin Treatment Masks",TRUE,Title,Default Title,3552570017140,4.32,56.00,14,https://www.mewse.ro/images/produse/annayake-annayake-hydrating-cream-mask-for-face-75-ml-0-3552570017140F-1669119016.jpg
"annayake,-24h,-hydrating,-eye-cream,-15-ml-*tester","Annayake, 24h, Hydrating, Eye Cream, 15 ml *Tester",<p>Annayake - Tester</p>,Annayake,Skin / Eye Care,"For Women, Tester, Eye Care",TRUE,Title,Default Title,3552570013845,9.43,64.00,2,https://www.mewse.ro/images/produse/annayake-24h-hydrating-eye-cream-15-ml-tester-1686636898.png
"annayake,-annayake,-makeup-removing,-facial-sponge,-white","Annayake, Annayake, Makeup Removing, Facial Sponge, White",<p>Annayake - Regular</p>,Annayake,Skin / Skin Care,"For Women, Regular, Skin Care",TRUE,Title,Default Title,3552576000023,8.17,19.00,1,https://www.mewse.ro/images/produse/annayake-annayake-makeup-removing-facial-sponge-white-1707750853.jpg
"annayake,-men,-cleansing,-shaving-foam,-100-ml-*tester","Annayake, Men, Cleansing, Shaving Foam, 100 ml *Tester",<p>Annayake - Tester</p>,Annayake,Skin / Face Shaving,"For Men, Tester, Face Shaving",TRUE,Title,Default Title,3552570010141,5.55,44.00,5,https://www.mewse.ro/images/produse/annayake-men-cleansing-shaving-foam-100-ml-tester-1686561378.png
