Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"disney,-the-lion-king,-simba,-collectible-plush-toy,-1+-years","Disney, The Lion King, Simba, Collectible Plush Toy, 1+ years",<p>Disney - Regular</p>,Disney,Toys / Plush Toys,"Unisex, Regular, Plush Toys",TRUE,Title,Default Title,3858889575389,9.90,27.00,2,https://www.mewse.ro/images/produse/disney-the-lion-king-simba-collectible-plush-toy-1-years-1678540930.jpg
"disney,-rabbit,-collectible-plush-toy,-1+-years","Disney, Rabbit, Collectible Plush Toy, 1+ years",<p>Disney - Regular</p>,Disney,Toys / Plush Toys,"Unisex, Regular, Plush Toys",TRUE,Title,Default Title,3858889575105,7.63,12.00,5,https://www.mewse.ro/images/produse/disney-rabbit-collectible-plush-toy-1-years-1679648272.png
"disney,-minnie-mouse,-doll,-perfectly-pink,-for-girls","Disney, Minnie Mouse, Doll, Perfectly Pink, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995207592,6.06,15.40,48,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-perfectly-pink-1683800035.jpg
"disney,-minnie-mouse,-doll,-sweet-&-stylish,-for-girls","Disney, Minnie Mouse, Doll, Sweet & Stylish, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995207608,5.76,15.40,53,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-sweet-stylish-1683799979.jpg
"disney,-minnie-mouse,-doll,-very-vibant,-for-girls","Disney, Minnie Mouse, Doll, Very Vibant, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995209893,5.54,15.40,77,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-very-vibant-1683800118.jpg
"disney,-minnie-mouse,-doll,-groovy-glam,-for-girls","Disney, Minnie Mouse, Doll, Groovy Glam, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995200524,8.95,19.88,3,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-groovy-glam-1683800200.jpg
"disney,-minnie-mouse,-doll,-totally-cute,-for-girls","Disney, Minnie Mouse, Doll, Totally Cute, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995200500,7.00,15.40,4,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-totally-cute-1683800349.jpg
"disney,-minnie-mouse,-doll,-oh-so-chic,-for-girls","Disney, Minnie Mouse, Doll, Oh So Chic, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995202566,12.41,29.82,4,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-oh-so-chic-1683800476.jpg
"disney,-minnie-mouse,-doll,-paradise-pink,-for-girls","Disney, Minnie Mouse, Doll, Paradise Pink, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995209909,7.49,19.88,12,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-paradise-pink-1683800841.jpg
"disney,-minnie-mouse,-doll,-preppy-paid,-for-girls","Disney, Minnie Mouse, Doll, Preppy Paid, For Girls",<p>Disney - Regular</p>,Disney,Toys / Dolls,"For Girls, Regular, Dolls",TRUE,Title,Default Title,192995200548,7.15,19.88,15,https://www.mewse.ro/images/produse/disney-minnie-mouse-doll-preppy-paid-1683800895.jpg
